Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
P35270	P35270	6697	6697	SPR	SPR	26565027:0114:LC|23704574:0114:LC|26087165:0114:LC|PDB_4J7X:0114:LC
P35318	Q16602	133	10203	ADM	CALCRL	9620797:0492:LC|9620797:0493:LC|22102369:0107:LC
P35346	P35346	6755	6755	SSTR5	SSTR5	9694905:0493:LC|10713101:0055:LC|10713101:0096:LC
P35346	Q9HD26	6755	57120	SSTR5	GOPC	16012170:0096:LC|16012170:0492:LC|18754678:0081:LC|16012170:0493:LC|16012170:0018:LC|18754678:0053:LC
P35354	P35354	5743	5743	PTGS2	PTGS2	14667819:0018:HT|10811226:0114:LC|27226593:0114:LC|26859324:0114:LC
P35372	Q5T9L3	4988	79971	OPRM1	WLS	23840749:0096:LC|20214800:0006:LC|20214800:0007:LC|20214800:0018:LC|23840749:0018:LC|20214800:0096:LC|23840749:0112:LC|23840749:0007:LC|20214800:0663:LC|23840749:0004:LC|20214800:0112:LC
P35372	Q96S59	4988	10048	OPRM1	RANBP9	23840749:0096:LC|23840749:0018:LC|19788913:0004:LC|19788913:0018:LC|19788913:0007:LC|19788913:0006:LC
P35398	P35398	6095	6095	RORA	RORA	25651181:0114:LC|7935491:0492:LC
P35398	P48552	6095	8204	RORA	NRIP1	25651181:0114:LC
P35398	Q15788	6095	8648	RORA	NCOA1	23975195:0018:LC|15604093:0018:HT
P35442	P35442	7058	7058	THBS2	THBS2	1459996:0493:LC|8463250:0493:LC|8463250:0492:LC|1459996:0492:LC
P35475	P35475	3425	3425	IDUA	IDUA	23959878:0114:LC|24036510:0114:LC|PDB_4OBR:0114:LC
P35499	Q13424	6329	6640	SCN4A	SNTA1	15123239:0081:LC|15123239:0686:LC|9412493:0493:LC
P35520	P35520	875	875	CBS	CBS	11483494:0114:LC|16189514:0398:HT|11173483:0492:LC|12173932:0018:LC|16189514:0492:HT|25416956:0397:HT|11173483:0018:LC|16189514:0018:HT|11173483:0114:LC|16189514:0004:HT|21900206:0018:HT|24043838:0114:LC|12173932:0492:LC|19447967:0398:HT|25336647:0114:LC|25197074:0114:LC|11483494:0018:LC|11483494:0492:LC
P35548	Q9Y5V3	4488	9500	MSX2	MAGED1	11959851:0493:LC|11084035:0493:LC
P35555	P35555	2200	2200	FBN1	FBN1	18448684:0808:LC|18448684:0892:LC|18448684:0071:LC|15062093:0114:LC|18448684:0410:LC
P35555	P35556	2200	2201	FBN1	FBN2	10504303:0030:LC|10504303:0493:LC|10359653:0493:LC
P35555	P55001	2200	4237	FBN1	MFAP2	15980072:0107:LC|11481325:0096:LC|11481325:0492:LC
P35555	Q9Y3V7	2200		FBN1	DKFZP586A1519	8702639:0493:LC|8702639:0107:LC|8702639:0096:LC|9886271:0493:LC|8702639:0047:LC|8702639:0686:LC
P35557	Q14397	2645	2646	GCK	GCKR	9000692:0493:LC|11473043:0493:LC|8626423:0018:LC|8626423:0493:LC|10601273:0018:LC|11473043:0024:LC|10601273:0493:LC|11522786:0084:LC|10601273:0492:LC|11473043:0018:LC|11473043:0492:LC|8626423:0492:LC|11522786:0411:LC|9000692:0018:LC|9000692:0492:LC
P35558	P35558	5105	5105	PCK1	PCK1	17532214:0114:LC
P35568	P35568	3667	3667	IRS1	IRS1	10411883:0492:LC|10411883:0114:LC
P35568	P42345	3667	2475	IRS1	MTOR	16354680:0415:LC|16354680:0004:LC|11287630:0492:LC|11287630:0004:LC
P35568	P45983	3667	5599	IRS1	MAPK8	10722755:0004:LC|12417588:0018:LC|12417588:0492:LC|12351658:0492:LC|12351658:0493:LC|11606564:0492:LC|11606564:0018:LC|11606564:0493:LC|12417588:0493:LC|12351658:0018:LC|10722755:0096:LC|10722755:0492:LC|10722755:0493:LC|10722755:0018:LC|12417588:0024:LC
P35568	P46108	3667	1398	IRS1	CRK	8810325:0493:LC|9837978:0493:LC|8810325:0492:LC|9837978:0492:LC|8621590:0493:LC|8621590:0492:LC
P35568	P62258	3667	7531	IRS1	YWHAE	9312143:0405:LC|9111084:0018:LC|9111084:0004:LC|9312143:0096:LC|9111084:0493:LC|9111084:0024:LC|9312143:0493:LC|9111084:0405:LC|9111084:0096:LC
P35568	P62993	3667	2885	IRS1	GRB2	8388384:0492:LC|8810325:0493:LC|8810325:0492:LC|7488107:0493:LC|7488107:0492:LC|8388384:0493:LC
P35568	Q05655	3667	5580	IRS1	PRKCD	12031982:0024:LC|12031982:0493:LC|12031982:0004:LC|15516986:0415:LC|15364919:0493:LC
P35568	Q06124	3667	5781	IRS1	PTPN11	8505282:0492:LC|7935386:0493:LC|9756938:0004:LC|7935386:0492:LC|7513703:0107:LC|8505282:0493:LC|8505282:0024:LC|9756938:0493:LC|11781100:0096:LC|9756938:0492:LC|8505282:0096:LC|11781100:0415:LC
P35568	Q92569	3667	8503	IRS1	PIK3R3	25814554:0729:LC|9415396:0004:LC|25814554:0397:LC|25814554:1356:LC|25814554:0018:LC|10417350:0492:LC|10417350:0493:LC|10417350:0004:LC|9415396:0493:LC|25814554:0004:LC|7542745:0492:LC|9415396:0492:LC|7542745:0493:LC
P35568	V9HW98	3667		IRS1	HEL2	9312143:0493:LC|9111084:0493:LC|9111084:0096:LC|9111084:0018:LC
P35579	Q14896	4627	4607	MYH9	MYBPC3	352343:0493:LC|6448079:0492:LC|352343:0492:LC|6448079:0493:LC|10672519:0492:LC|10672519:0493:LC
P35606	P53621	9276	1314	COPB2	COPA	8940050:0493:LC|8537409:0493:LC|10921873:0018:LC
P35609	P35609	88	88	ACTN2	ACTN2	9030526:0493:LC|9030526:0492:LC|9501083:0031:LC|11101506:0018:LC|27287556:0114:LC|25416956:0397:HT|11470434:0114:LC|11101506:0096:LC|11101506:0065:LC|9030526:0018:LC
P35609	Q05586	88	2902	ACTN2	GRIN1	9952395:0492:LC|9952395:0493:LC|9728925:0492:LC|9728925:0493:LC|9009191:0045:LC|9728925:0018:LC|9952395:0018:LC|9009191:0493:LC|9009191:0018:LC|9009191:0492:LC|9009191:0004:LC
P35609	Q08043	88	89	ACTN2	ACTN3	9675099:0047:LC|9675099:0096:LC|9675099:0004:LC|10656685:0492:LC|10656685:0493:LC
P35609	Q8WZ42	88	7273	ACTN2	TTN	9501083:0031:LC|9501083:0018:LC|9501083:0096:LC|9501083:0492:LC|23414517:0399:HT|11101506:0018:LC|11101506:0096:LC|11101506:0065:LC|16902413:0018:LC|11846417:0018:LC|16902413:0492:LC
P35609	Q9NPC6	88	51778	ACTN2	MYOZ2	11842093:0493:LC|11842093:0492:LC|25416956:1112:HT|25416956:0397:HT|25416956:1356:HT|11842093:0018:LC
P35611	Q05655	118	5580	ADD1	PRKCD	8810272:0492:LC|9679146:0492:LC|9679146:0493:LC|8810272:0493:LC
P35612	P35612	119	119	ADD2	ADD2	7707875:0492:LC|7999065:0492:LC
P35612	Q05655	119	5580	ADD2	PRKCD	8810272:0492:LC|9679146:0492:LC|9679146:0493:LC|8810272:0493:LC
P35612	Q9Y2J0	119	22895	ADD2	RPH3A	9244430:0492:LC|7707875:0492:LC|7999065:0492:LC|7707875:0096:LC
P35613	P35613	682	682	BSG	BSG	19768682:0114:LC|21620857:0114:LC|18430721:0114:LC|15201341:0493:LC|25132548:0114:LC
P35625	P78536	7078	6868	TIMP3	ADAM17	18638486:0114:LC|12044879:0492:LC|12044879:0096:LC
P35625	Q9UNA0	7078	11096	TIMP3	ADAMTS5	19643179:0435:LC|22406378:0435:LC
P35637	Q92973	2521	3842	FUS	TNPO1	22778397:0065:LC|22778397:0114:LC|PDB_4FQ3:0114:LC
P35637	Q99873	2521	3276	FUS	PRMT1	16169070:0398:HT|11850402:0415:LC|12183049:0415:LC|11850402:0492:LC|16169070:0018:HT
P35638	P49715	1649	1050	DDIT3	CEBPA	20102225:0081:LC|12805554:0008:HT
P35638	P49716	1649	1052	DDIT3	CEBPD	20102225:0081:LC|12805554:0008:HT
P35638	P53567	1649	1054	DDIT3	CEBPG	16189514:0398:HT|20102225:0081:LC|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|16189514:0018:HT|25416956:1356:HT|12805554:0008:HT
P35638	Q15744	1649	1053	DDIT3	CEBPE	15588942:0096:LC|15588942:0018:LC|15588942:0492:LC|12805554:0008:HT
P35638	Q16520	1649	10538	DDIT3	BATF	27107012:1356:LC|16189514:0398:HT|20102225:0081:LC|16189514:0018:HT|18330356:0018:LC|27107012:2215:LC|12805554:0008:HT
P35638	Q16534	1649	3131	DDIT3	HLF	20102225:0081:LC|12805554:0008:HT
P35638	Q16649	1649	4783	DDIT3	NFIL3	20102225:0081:LC|12805554:0008:HT
P35638	Q9BPX1	1649	51171	DDIT3	HSD17B14	27107012:1356:LC|16189514:0398:HT|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|16189514:0018:HT|25416956:1356:HT|27107012:2215:LC
P35638	Q9NR55	1649	55509	DDIT3	BATF3	25416956:0397:HT|20102225:0081:LC|25416956:1112:HT|25416956:0018:HT|25416956:1356:HT|12805554:0008:HT
P35658	Q9UBU9	8021	10482	NUP214	NXF1	10668806:0492:LC|10668806:0493:LC|10228171:0018:LC|11551912:0492:LC|10668806:0096:LC|11551912:0493:LC|11551912:0096:LC|10228171:0096:LC
P35658	Q9UMR2	8021	11269	NUP214	DDX19B	10428971:0492:LC|19219046:0107:LC|19219046:0096:LC|19208808:0071:LC|19219046:0104:LC|19219046:0071:LC|19208808:0114:LC|10428971:0024:LC|19208808:0081:LC|19219046:0114:LC
P35680	P35680	6928	6928	HNF1B	HNF1B	17924661:0114:LC
P35711	P35711	6660	6660	SOX5	SOX5	9755172:0492:LC|25416956:0397:HT|25416956:0018:HT
P35790	P35790	1119	1119	CHKA	CHKA	23441033:0114:LC|17007874:0114:LC|PDB_5AFV:0114:LC|20299452:0114:LC|PDB_3F2R:0114:LC|23416529:0114:LC|23813777:0114:LC|26700752:0114:LC
P35813	V9HW43	5494		PPM1A	HEL-S-102	25277244:0018:LC|21988832:0018:HT
P35869	P35869	196	196	AHR	AHR	18358233:0415:LC|10620335:0493:LC|10620335:0492:LC
P35869	Q04206	196	5970	AHR	RELA	12181450:0493:LC|12181450:0004:LC|11114727:0493:LC|11114727:0024:LC|11114727:0004:LC
P35869	Q09472	196	2033	AHR	EP300	10999956:0004:LC|21988832:0018:HT|10999956:0493:LC
P35869	Q15185	196	10728	AHR	PTGES3	11013261:0492:LC|11259606:0492:LC|11013261:0493:LC|11013261:0096:LC|11259606:0493:LC
P35869	Q53F30	196		AHR	Q53F30	9887096:0004:LC|9887096:0018:LC|7628454:0096:LC|7488247:0018:LC|7628454:0018:LC
P35869	Q86SX1	196		AHR	Q86SX1	7961671:0493:LC|9083006:0493:LC|9083006:0004:LC
P35916	P35916	2324	2324	FLT4	FLT4	8700872:0493:LC|10835628:0493:LC
P35916	P35968	2324	3791	FLT4	KDR	16530705:0019:LC|15474514:0492:LC
P35916	P49767	2324	7424	FLT4	VEGFC	12810700:0019:LC|23878260:0114:LC|8700872:0004:LC|16530705:0493:LC|8700872:0493:LC|8700872:0024:LC|8700872:0019:LC
P35916	P62993	2324	2885	FLT4	GRB2	8662748:0492:LC|9927207:0024:LC|9927207:0492:LC|7970715:0096:LC|9927207:0493:LC|7970715:0492:LC|7970715:0493:LC|7675451:0493:LC|7675451:0492:LC|8662748:0493:LC
P35968	P35968	3791	3791	KDR	KDR	17696416:0114:LC|10368301:0493:LC|20080685:0114:LC|18324761:0114:LC|18447379:0114:LC|PDB_2MEU:0114:LC|10749680:0492:LC|10579917:0493:LC|PDB_3EFL:0114:LC|10749680:0493:LC|PDB_2M59:0114:LC|20080685:0028:LC|18324759:0114:LC|20660291:0107:LC|17253678:0114:LC|PDB_2MET:0114:LC|17293873:0020:LC|18723346:0114:LC|10579917:0492:LC|10368301:0492:LC
P35968	P49767	3791	7424	KDR	VEGFC	20145116:0071:LC|12810700:0019:LC|11332691:0493:LC|20145116:0114:LC|20145116:0107:LC|20145116:0065:LC|20145116:0096:LC|20145116:0067:LC
P35968	P62993	3791	2885	KDR	GRB2	16966330:0493:LC|16966330:0007:LC|10319320:0493:LC|10319320:0004:LC
P35968	P98077	3791	25759	KDR	SHC2	10749680:0096:LC|9790910:0018:LC|10749680:0492:LC|10749680:0493:LC|10749680:0018:LC|10749680:0004:LC|9790910:0493:LC|9790910:0492:LC
P35968	P98160	3791	3339	KDR	HSPG2	23374253:0411:LC|21596751:0892:LC|21596751:0096:LC|21596751:0411:LC|23374253:0006:LC|23374253:0049:LC|21596751:0047:LC
P35968	Q59EA3	3791		KDR	Q59EA3	11950700:0004:LC|11950700:0493:LC|10428027:0493:LC
P35968	Q6AWA9	3791		KDR	DKFZP686A03134	11333271:0492:LC|17222790:0492:LC|11333271:0493:LC|16763549:0492:LC|17222790:0493:LC|16763549:0493:LC
P35968	Q9NP31	3791	9047	KDR	SH2D2A	15962004:0018:LC|10692392:0018:LC|15962004:0019:LC|15962004:0492:LC|10692392:0492:LC
P35998	Q16401	5701	5711	PSMC2	PSMD5	21516116:0018:HT|25416956:0018:HT|16189514:0398:HT|25416956:1112:HT|25416956:0397:HT|16189514:0018:HT|27107012:0018:LC|27107012:2215:LC|25416956:1356:HT|27107012:1356:LC|10625621:0492:LC|27107012:1203:LC|10625621:0096:LC
P36222	P36222	1116	1116	CHI3L1	CHI3L1	12775711:0114:LC|12851408:0114:LC|12775711:0492:LC
P36383	Q07157	10052	7082	GJC1	TJP1	PDB_3SHW:0114:LC
P36383	Q6MZU1	10052		GJC1	DKFZP686A1195	11557048:0492:LC|12064590:0492:LC
P36404	Q13432	402	9094	ARL2	UNC119	18588884:0096:LC|18588884:0053:LC|12527357:0004:LC|12527357:0493:LC|25416956:1112:HT|25416956:0397:HT|12527357:0492:LC|12527357:0018:LC|12527357:0096:LC|25416956:1356:HT
P36404	Q9Y2Y0	402	23568	ARL2	ARL2BP	27107012:1356:LC|21988832:0397:HT|25416956:0397:HT|25416956:1112:HT|25416956:0231:HT|25416956:1356:HT|19368893:0114:LC|27107012:1203:LC|27107012:0018:LC|27107012:2215:LC|19368893:0096:LC|19368893:0071:LC
P36405	Q13432	403	9094	ARL3	UNC119	18588884:0053:LC|16169070:0398:HT|11303027:0024:LC|11303027:0018:LC|18588884:0071:LC|16169070:0018:HT
P36406	P36406	373	373	TRIM23	TRIM23	16189514:0398:HT|16189514:0492:HT|22493164:0007:HT|11331580:0493:LC|16189514:0493:HT|25416956:0397:HT|25416956:0018:HT|16189514:0018:HT|11331580:0492:LC|15684077:0415:LC|17118964:0415:LC|22493164:0397:HT|11331580:0018:LC|22493164:0018:HT
P36406	Q14134	373	23650	TRIM23	TRIM29	25416956:1356:HT|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|11331580:0018:LC
P36507	P36507	5605	5605	MAP2K2	MAP2K2	15543157:0114:LC|8226933:0492:LC|8226933:0415:LC|17192257:0493:LC|11909642:0018:LC
P36575	Q00610	407	1213	ARR3	CLTC	9827808:0492:LC|9827808:0024:LC|11877451:0492:LC
P36639	P36639	4521	4521	NUDT1	NUDT1	PDB_3Q93:0114:LC|26878898:0114:LC|24258965:0114:LC|21787772:0114:LC|24695224:0114:LC
P36871	P36871	5236	5236	PGM1	PGM1	26972339:0114:LC
P36871	Q13153	5236	5058	PGM1	PAK1	15378030:0096:LC|15378030:0007:LC|15378030:0018:LC|15378030:0424:LC|17389360:0018:LC
P36873	P36873	5501	5501	PPP1CC	PPP1CC	PDB_4UT3:0114:LC|PDB_4UT2:0114:LC
P36873	P41236	5501	5504	PPP1CC	PPP1R2	21382349:0018:LC|10807923:0492:LC|10807923:0276:LC|8119416:0018:LC
P36873	P51955	5501	4751	PPP1CC	NEK2	24902662:0047:LC|23080069:0018:LC|21382349:0018:LC
P36873	Q12972	5501	5511	PPP1CC	PPP1R8	21382349:0018:LC|23080069:0018:LC|7499293:0492:LC
P36873	Q13625	5501	7159	PPP1CC	TP53BP2	25416956:1112:HT|21382349:0018:LC|23080069:0018:LC|25416956:0397:HT|25416956:0018:HT|18448430:0081:LC|21988832:0018:HT|8549741:0492:LC|25416956:1356:HT|8549741:0018:LC|8549741:0493:LC|8549741:0024:LC
P36873	Q2T9L4	5501	388135	PPP1CC	C15ORF59	23080069:0018:LC|21382349:0018:LC
P36873	Q4KMQ1	5501	286262	PPP1CC	TPRN	21382349:0018:LC|23080069:0018:LC
P36873	Q5UIP0	5501	55183	PPP1CC	RIF1	23080069:0018:LC|21382349:0018:LC
P36873	Q6NYC8	5501	170954	PPP1CC	PPP1R18	21382349:0018:LC|23080069:0018:LC
P36873	Q6PJW8	5501	163882	PPP1CC	CNST	23080069:0018:LC|21382349:0018:LC
P36873	Q8IWU2	5501	22853	PPP1CC	LMTK2	23080069:0018:LC|21382349:0018:LC
P36873	Q8NF45	5501		PPP1CC	FLJ00353	21382349:0018:LC|23080069:0018:LC
P36873	Q8TEC5	5501	153769	PPP1CC	SH3RF2	23080069:0018:LC|21382349:0018:LC
P36873	Q92905	5501	10987	PPP1CC	COPS5	23080069:0018:LC|21382349:0018:LC
P36873	Q96KQ4	5501	23368	PPP1CC	PPP1R13B	21382349:0018:LC|23080069:0018:LC
P36873	Q96S59	5501	10048	PPP1CC	RANBP9	23080069:0018:LC|21382349:0004:LC|21382349:0018:LC
P36873	Q96S65	5501	64651	PPP1CC	CSRNP1	21382349:0018:LC|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT|23080069:0018:LC
P36873	Q9Y2W2	5501	51729	PPP1CC	WBP11	14640981:0018:LC|14640981:0492:LC|14640981:0493:LC|23080069:0018:LC
P36888	P36888	2322	2322	FLT3	FLT3	11971190:0492:LC|25837374:0114:LC|11971190:0493:LC
P36888	P49771	2322	2323	FLT3	FLT3LG	9651358:0493:LC|7505204:0493:LC
P36894	P36894	657	657	BMPR1A	BMPR1A	10712517:0019:LC|18436533:0055:LC|10712517:0493:LC|10712517:0004:LC
P36894	P43026	657	8200	BMPR1A	GDF5	9525338:0096:LC|26385096:0114:LC|16127465:0107:LC|9525338:0492:LC|11282024:0492:LC|19229295:0107:LC
P36894	Q15427	657	10262	BMPR1A	SF3B4	17513295:0007:LC|15351706:0493:LC|15351706:0018:LC|17513295:0018:LC|15351706:0004:LC
P36894	Q15797	657	4086	BMPR1A	SMAD1	11438941:0493:LC|9136927:0415:LC|24412244:0397:LC
P36896	P62942	91	2280	ACVR1B	FKBP1A	16720724:0096:LC|16720724:0007:LC|16720724:0018:LC|16720724:0004:LC|15908921:0090:LC
P36897	P36897	7046	7046	TGFBR1	TGFBR1	15761148:0019:LC|9472030:0027:LC|19135364:0114:LC|20919678:0114:LC|19914068:0114:LC|9472030:0686:LC|15761153:0019:HT|9472030:0492:LC|9472030:0019:LC|11583628:0114:LC
P36897	P37173	7046	7048	TGFBR1	TGFBR2	10026191:0019:LC|7890683:0018:LC|8576253:0018:LC|7878020:0019:LC|8576253:0493:LC|7890683:0493:LC|7890683:0024:LC|11483955:0018:LC|14612425:0019:LC|18243111:0114:LC
P36897	P62942	7046	2280	TGFBR1	FKBP1A	7518616:0018:LC|7791754:0018:LC|15761148:0019:LC|7518616:0492:LC|24658140:0112:LC|15761153:0019:HT|9346894:0018:LC|7518616:0004:LC|10025408:0114:LC|9346894:0492:LC
P36897	Q04771	7046	90	TGFBR1	ACVR1	24658140:0112:LC|15761153:0019:HT|15761153:0493:HT
P36897	Q12931	7046	10131	TGFBR1	TRAP1	11278302:0493:LC|9545258:0493:LC|9545258:0018:LC|11278302:0018:LC
P36897	Q13485	7046	4089	TGFBR1	SMAD4	15761153:0004:HT|8774881:0045:LC|8774881:0492:LC
P36897	Q13873	7046	659	TGFBR1	BMPR2	7890683:0018:LC|15761153:0019:HT|7791754:0018:LC
P36897	Q15796	7046	4087	TGFBR1	SMAD2	9525694:0493:LC|25872870:0415:LC|8980228:0423:LC|18511908:0493:LC|18511908:0004:LC|9346908:0007:LC|9346908:0493:LC|18511908:0007:LC|9892009:0493:LC|15761153:0019:HT
P36897	Q15797	7046	4086	TGFBR1	SMAD1	10085121:0492:LC|9136927:0493:LC|9136927:0492:LC|9748228:0492:LC|10085121:0493:LC|9748228:0493:LC
P36897	Q8WUH2	7046	9392	TGFBR1	TGFBRAP1	11278302:0493:LC|11278302:0004:LC|11278302:0018:LC|9545258:0493:LC|9545258:0018:LC
P36897	Q9HAU4	7046	64750	TGFBR1	SMURF2	11163210:0493:LC|11163210:0004:LC|14722617:0493:LC
P36897	Q9P0T0	7046		TGFBR1	Q9P0T0	25872870:0415:LC|9311995:0493:LC
P36897	Q9Y4K3	7046	7189	TGFBR1	TRAF6	25622187:0004:LC|18758450:0493:LC|25622187:0415:LC|18758450:0004:LC|25622187:0428:LC
P36941	P36941	4055	4055	LTBR	LTBR	10207006:0018:LC|9371602:0018:LC|9371602:0004:LC|10207006:0096:LC|20732415:0007:LC|10207006:0492:LC|20732415:0018:LC|20732415:0004:LC
P36941	Q12933	4055	7186	LTBR	TRAF2	12169272:0024:LC|12169272:0493:LC|12571250:0019:LC|12571250:0007:LC
P36941	Q13114	4055	7187	LTBR	TRAF3	12571250:0492:LC|9122217:0492:LC|9122217:0019:LC|14517219:0096:LC|12571250:0019:LC|12571250:0024:LC|9122217:0004:LC|14517219:0114:LC|12571250:0007:LC
P36952	P36952	5268	5268	SERPINB5	SERPINB5	15760906:0114:LC|15501821:0114:LC
P36956	P36956	6720	6720	SREBF1	SREBF1	15798184:0055:LC|9634703:0114:LC|9634703:0492:LC
P36956	Q92793	6720	1387	SREBF1	CREBBP	9651391:0096:LC|9651391:0492:LC|8918891:0004:LC|8918891:0047:LC|8918891:0045:LC
P36956	Q96EB6	6720	23411	SREBF1	SIRT1	20817729:0415:LC|20595232:0415:LC|20817729:0406:LC|20817729:0004:LC|20817729:0096:LC
P36959	P36959	2766	2766	GMPR	GMPR	25416956:0397:HT|16359702:0492:LC|25416956:0018:HT|PDB_2BWG:0114:LC
P36980	P36980	3080	3080	CFHR2	CFHR2	23487775:0114:LC
P37023	P37173	94	7048	ACVRL1	TGFBR2	10716993:0493:LC|10187774:0019:LC|10716993:0024:LC
P37088	P46934	6337	4734	SCNN1A	NEDD4	11359767:0492:LC|10642508:0492:LC|11359767:0045:LC|10642508:0096:LC|23665454:0114:LC|11359767:0096:LC|11244092:0047:LC|11359767:0493:LC|11359767:0004:LC|10212229:0492:LC|10642508:0024:LC|10642508:0493:LC|10212229:0493:LC
P37088	P51168	6337	6338	SCNN1A	SCNN1B	21775436:0007:LC|8986818:0493:LC|21775436:0872:LC|22526458:0004:LC|22526458:0090:LC|8986818:0024:LC
P37088	P51170	6337	6340	SCNN1A	SCNN1G	21775436:0007:LC|10409621:0493:LC|21775436:0872:LC
P37088	Q16623	6337	6804	SCNN1A	STX1A	10409621:0492:LC|12562778:0493:LC|10409621:0493:LC|12562778:0492:LC
P37088	Q96PU5	6337	23327	SCNN1A	NEDD4L	18322022:0492:LC|11244092:0047:LC|16416336:0047:LC|14556380:0018:LC|11244092:0024:LC|18498246:0493:LC|18498246:0492:LC|11244092:0492:LC|11244092:0493:LC|18322022:0493:LC
P37108	P49458	6727	6726	SRP14	SRP9	2153922:0492:LC|2153922:0096:LC|25336584:0114:LC|26585389:0114:LC|11089964:0492:LC|11089964:0114:LC
P37173	P37173	7048	7048	TGFBR2	TGFBR2	10026191:0019:LC|9472030:0686:LC|11163210:0492:LC|7890683:0018:LC|11163210:0493:LC|11163210:0018:LC|7890683:0493:LC|7890683:0492:LC|11279102:0018:LC|9472030:0027:LC|11279102:0492:LC|11279102:0493:LC
P37173	Q5U0F4	7048		TGFBR2	EIF3S2	11781097:0493:LC|7566156:0492:LC|11781097:0492:LC|7566156:0493:LC
P37198	P61970	23636	10204	NUP62	NUTF2	8757804:0492:LC|7744965:0492:LC|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT|7744965:0096:LC|15522285:0492:LC
P37198	Q03933	23636	3298	NUP62	HSF2	9367915:0018:LC|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT|9367915:0492:LC|9367915:0096:LC
P37198	Q7Z3B4	23636	53371	NUP62	NUP54	16189514:0398:HT|21516116:0018:HT|25416956:0397:HT|25416956:1112:HT|27194810:0397:LC|25416956:0018:HT|16189514:0018:HT|25416956:1356:HT
P37198	Q9BVL2	23636		NUP62	NUP58	11266456:0492:LC|21516116:0018:HT|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
P37198	Q9UBU9	23636	10482	NUP62	NXF1	21516116:0018:HT|23477864:0006:LC|10668806:0492:LC|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|10668806:0096:LC|23477864:0416:LC|25416956:1356:HT
P37231	P37231	5468	5468	PPARG	PPARG	17937915:0114:LC|24796862:0114:LC|PDB_2XKW:0114:LC|12672231:0114:LC|22081932:0114:LC|9744270:0114:LC|9744270:0492:LC|27337155:0114:LC|PDB_3B0R:0114:LC|22509006:0114:LC|19172745:0114:LC|PDB_3WJ5:0114:LC|15974597:0114:LC|PDB_4JL4:0114:LC|17533125:0114:LC|17034149:0114:LC|16451087:0114:LC|19101554:0114:LC|12672231:0492:LC|16366601:0114:LC|26025876:0114:LC|17940191:0114:LC|21561829:0114:LC|27283034:0114:LC|19301897:0114:LC|PDB_3VSP:0114:LC|PDB_3NOA:0114:LC|18394907:0114:LC|18604218:0114:LC|20717101:0114:LC|19783444:0114:LC|22185225:0114:LC|26579553:0114:LC|PDB_3WJ4:0114:LC|PDB_4L98:0114:LC|18977231:0114:LC|11587644:0114:LC|21128600:0114:LC|PDB_3B0Q:0114:LC|PDB_3KMG:0114:LC|19622862:0114:LC|11831892:0114:LC|11831892:0492:LC|23286787:0114:LC|21622942:0114:LC|19775169:0114:LC|25785518:0114:LC|22070604:0114:LC|10339548:0114:LC|19053776:0114:LC|17403688:0114:LC|16640330:0114:LC|21557540:0114:LC|22649490:0114:LC|22391103:0114:LC|26185032:0114:LC|PDB_3WMH:0114:LC|22341573:0114:LC|25641779:0114:LC|PDB_3PO9:0114:LC|17462987:0114:LC|18263587:0114:LC|26068133:0114:LC|22584573:0114:LC|25004973:0114:LC|19116277:0114:LC|26445566:0114:LC|10339548:0492:LC|23171045:0114:LC|23490155:0114:LC
P37231	P48552	5468	8204	PPARG	NRIP1	9626662:0492:LC|9626662:0018:LC|11500849:0055:LC|9626662:0096:LC
P37231	P63279	5468	7329	PPARG	UBE2I	26192107:0055:LC|19692572:0415:LC|26192107:0004:LC
P37231	Q00535	5468	1020	PPARG	CDK5	22078880:0018:LC|22078880:0004:LC|22584573:0415:LC|22078880:0006:LC
P37231	Q04206	5468	5970	PPARG	RELA	23250430:0004:LC|23684777:0018:LC|23250430:0415:LC
P37231	Q09472	5468	2033	PPARG	EP300	10075656:0096:LC|10944516:0096:LC|17468099:0004:LC|10075656:0018:LC|10944516:0018:LC|10075656:0004:LC|11500849:0055:LC|17468099:0055:LC
P37231	Q14686	5468	23054	PPARG	NCOA6	15604093:0018:HT|15604093:0492:HT|10788465:0018:LC|10788465:0492:LC
P37231	Q15596	5468	10499	PPARG	NCOA2	15026545:0018:LC|10944516:0096:LC|10944516:0492:LC|19043829:0114:LC|10944516:0018:LC|17513608:0018:LC|11500849:0055:LC
P37231	Q15648	5468	5469	PPARG	MED1	15604093:0493:HT|12037571:0493:LC|17468099:0004:LC|17704298:0096:LC|9325263:0493:LC|17704298:0018:LC|15026545:0018:LC|9325263:0018:LC|9325263:0492:LC|10935544:0018:LC|12037571:0018:LC|15604093:0018:HT|10944516:0018:LC|17468099:0055:LC|15604093:0492:HT|12037571:0492:LC|10944516:0096:LC|11500849:0055:LC
