Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
A7KAX9	P06241	9743	2534	ARHGAP32	FYN	12788081:0492:LC|12788081:0493:LC|12857875:0018:LC|12857875:0492:LC|12788081:0006:LC|12857875:0493:LC|12788081:0007:LC|12788081:0018:LC|12788081:0096:LC
A8K008	S6BGD6			A8K008	S6BGD6	24717798:0114:LC
A8K031	A8K031			KNTC2	KNTC2	9295362:0018:LC|14602875:0018:LC
A8K031	P51955		4751	KNTC2	NEK2	12386167:0415:LC|9295362:0018:LC|12386167:0493:LC|12386167:0492:LC|12386167:0018:LC|12386167:0024:LC|12386167:0096:LC|21900206:0018:HT
A8K031	Q9BZD4		83540	KNTC2	NUF2	17129783:0071:LC|15961401:0071:LC|15961401:0096:LC|14602875:0018:LC
A8K0Z3	W0FFG4	100287171		WASH1	W0FFG4	23974797:0004:LC|23974797:0018:LC|23974797:0096:LC|24980959:0018:LC
A8K147	P21802		2263	A8K147	FGFR2	11069186:0114:LC|10618369:0114:LC
A8K2I7	P98164		4036	A8K2I7	LRP2	10827173:0096:LC|12508107:0018:LC|10827173:0018:LC
A8K379	Q07666		10657	A8K379	KHDRBS1	22745667:0686:LC|22745667:0004:LC|22745667:0055:LC|15190072:0415:LC
A8K379	Q99704		1796	A8K379	DOK1	11071635:0096:LC|11825908:0415:LC|11071635:0415:LC
A8K4Y7	Q9H0M4		55063	A8K4Y7	ZCWPW1	20826339:0114:LC
A8K5I0	Q9NZL4		23640	HEL-S-103	HSPBP1	9830037:0492:LC|9830037:0018:LC|15694338:0114:LC|16713569:0018:HT
A8K5I0	Q9UNE7		10273	HEL-S-103	STUB1	16275660:0492:LC|10330192:0004:LC|15189447:0492:LC|16275660:0018:LC|15189447:0493:LC|10330192:0492:LC|10330192:0018:LC|10330192:0493:LC|10330192:0024:LC|16275660:0049:LC|15189447:0018:LC|16275660:0493:LC|10330192:0096:LC|16275660:0096:LC
A8K6G4	P17936		3486	A8K6G4	IGFBP3	11095942:0415:LC|10849447:0018:LC|10849447:0004:LC
A8K6K3	Q16539		1432	MAP3K7IP1	MAPK14	11847341:0018:LC|11847341:0019:LC|12829618:0019:LC|11847341:0024:LC|21900206:0018:HT
A8K7I4	P16144	1179	3691	CLCA1	ITGB4	12110680:0493:LC|14512419:0492:LC|14512419:0493:LC|12110680:0492:LC
A8K8P3	P41208	9814	1069	SFI1	CETN2	14504268:0492:LC|16956364:0017:LC|14504268:0096:LC|16956364:0077:LC|19857500:0114:LC|16956364:0016:LC|16956364:0065:LC
A8MT69	A8MT69	201254	201254	STRA13	STRA13	PDB_4E44:0114:LC|24390579:0114:LC
A8MT69	Q8N2Z9	201254	378708	STRA13	APITD1	23886707:0826:LC|20347428:0018:LC|PDB_4E44:0114:LC|24390579:0114:LC|20347428:0096:LC|23886707:0071:LC|20347428:0004:LC|22304917:0071:LC
A8MYU2	A8MYU2	157855	157855	KCNU1	KCNU1	23129643:0114:LC
A9UHW6	O95425	57409	6840	MIF4GD	SVIL	20309963:0493:LC|20309963:0018:LC|16880273:0018:LC
B0UXD8	B0UXD8			HLA-DRA1	HLA-DRA1	8316295:0114:LC|16079912:0114:LC|8570625:0114:LC
B0UXD8	P13760		3123	HLA-DRA1	HLA-DRB1	11432818:0114:LC|11060013:0114:LC|11864610:0114:LC|12467569:0114:LC|10841792:0114:LC|11877480:0114:LC|11432818:0024:LC|12962633:0114:LC|7477400:0024:LC|9354468:0114:LC|8145819:0114:LC|8570625:0114:LC|8316295:0114:LC|7477400:0114:LC|10049939:0114:LC|12952957:0114:LC
B0UXD8	Q30154		3127	HLA-DRA1	HLA-DRB5	12244309:0114:LC|11080454:0114:LC|11163233:0114:LC|16079912:0114:LC
B2R6F3	Q8WXA9		140890	SFRS3	SREK1	14559993:0018:LC|10757789:0493:LC|11991645:0018:LC|10757789:0492:LC|14559993:0493:LC|14559993:0004:LC|11991645:0493:LC|10757789:0018:LC|11991645:0492:LC|14559993:0492:LC|11991645:0096:LC
B2R7U1	P29317		1969	B2R7U1	EPHA2	20505120:0114:LC
B2RC52	Q15842		3764	B2RC52	KCNJ8	11136227:0492:LC|10559219:0492:LC|11136227:0493:LC|10559219:0493:LC
B2RDW1	Q00987		4193	HEL112	MDM2	21561866:0096:LC|21988832:0018:HT|21561866:0004:LC|21561866:0415:LC
B2RDW1	Q15797		4086	HEL112	SMAD1	11438941:0018:LC|15761153:0019:HT|15761153:0493:HT
B2RDW1	Q9Y3C5		26994	HEL112	RNF11	15231748:0018:HT|14755250:0018:LC
B2RXH2	B2RXH2	390245	390245	KDM4E	KDM4E	21914792:0114:LC
B3EWF7	B3EWF7	7957	7957	EPM2A	EPM2A	25538239:0114:LC|14532330:0018:LC|26493215:0018:LC
B3EWF7	Q6VVB1	7957	378884	EPM2A	NHLRC1	15930137:0096:LC|15930137:0997:LC|22578008:0096:LC|22578008:0004:LC|21505799:0663:LC|16115820:0018:LC|21505799:0018:LC|22578008:0415:LC|15930137:0007:LC|23922729:0004:LC|15930137:0415:LC|26648032:0018:LC|18029386:0018:LC|15930137:0018:LC|23922729:0018:LC|26648032:0096:LC|16115820:0004:LC|15930137:0004:LC
B3EWF7	Q9UQK1	7957	5507	EPM2A	PPP1R3C	14532330:0051:LC|14532330:0096:LC|14532330:0018:LC|26493215:0018:LC
B3KNU0	P63000		5879	B3KNU0	RAC1	11948427:0018:LC|20936779:0018:HT
B3KNW7	O15360		2175	B3KNW7	FANCA	11726552:0018:LC|11726552:0004:LC|14499622:0018:LC
